"team","week","yardage_type","yards","offset","offset2","outcome"
"nfl-ari",16,"rushing",27,0,-1,"loss"
"nfl-ari",16,"passing",205,27,1,"loss"
"nfl-ari",15,"rushing",121,0,-1,"win"
"nfl-ari",15,"passing",260,121,1,"win"
"nfl-ari",14,"rushing",230,0,-1,"win"
"nfl-ari",14,"passing",263,230,1,"win"
"nfl-ari",13,"rushing",97,0,-1,"win"
"nfl-ari",13,"passing",296,97,1,"win"
"nfl-ari",12,"rushing",175,0,-1,"win"
"nfl-ari",12,"passing",349,175,1,"win"
"nfl-ari",11,"rushing",70,0,-1,"win"
"nfl-ari",11,"passing",267,70,1,"win"
"nfl-ari",10,"rushing",82,0,-1,"win"
"nfl-ari",10,"passing",301,82,1,"win"
"nfl-ari",9,"rushing",117,0,-1,"win"
"nfl-ari",9,"passing",334,117,1,"win"
"nfl-ari",8,"rushing",119,0,-1,"win"
"nfl-ari",8,"passing",372,119,1,"win"
"nfl-ari",7,"rushing",150,0,-1,"win"
"nfl-ari",7,"passing",264,150,1,"win"
"nfl-ari",6,"rushing",55,0,-1,"loss"
"nfl-ari",6,"passing",414,55,1,"loss"
"nfl-ari",5,"rushing",187,0,-1,"win"
"nfl-ari",5,"passing",158,187,1,"win"
"nfl-ari",4,"rushing",113,0,-1,"loss"
"nfl-ari",4,"passing",334,113,1,"loss"
"nfl-ari",3,"rushing",139,0,-1,"win"
"nfl-ari",3,"passing",307,139,1,"win"
"nfl-ari",2,"rushing",115,0,-1,"win"
"nfl-ari",2,"passing",185,115,1,"win"
"nfl-ari",1,"rushing",120,0,-1,"win"
"nfl-ari",1,"passing",307,120,1,"win"
"nfl-atl",16,"rushing",87,0,-1,"loss"
"nfl-atl",16,"passing",327,87,1,"loss"
"nfl-atl",15,"rushing",77,0,-1,"win"
"nfl-atl",15,"passing",296,77,1,"win"
"nfl-atl",14,"rushing",83,0,-1,"win"
"nfl-atl",14,"passing",245,83,1,"win"
"nfl-atl",13,"rushing",54,0,-1,"loss"
"nfl-atl",13,"passing",176,54,1,"loss"
"nfl-atl",12,"rushing",64,0,-1,"loss"
"nfl-atl",12,"passing",255,64,1,"loss"
"nfl-atl",11,"rushing",116,0,-1,"loss"
"nfl-atl",11,"passing",213,116,1,"loss"
"nfl-atl",10,"rushing",100,0,-1,"loss"
"nfl-atl",10,"passing",275,100,1,"loss"
"nfl-atl",9,"rushing",17,0,-1,"loss"
"nfl-atl",9,"passing",285,17,1,"loss"
"nfl-atl",8,"rushing",101,0,-1,"loss"
"nfl-atl",8,"passing",395,101,1,"loss"
"nfl-atl",7,"rushing",127,0,-1,"win"
"nfl-atl",7,"passing",251,127,1,"win"
"nfl-atl",6,"rushing",150,0,-1,"loss"
"nfl-atl",6,"passing",263,150,1,"loss"
"nfl-atl",5,"rushing",176,0,-1,"win"
"nfl-atl",5,"passing",242,176,1,"win"
"nfl-atl",4,"rushing",135,0,-1,"win"
"nfl-atl",4,"passing",243,135,1,"win"
"nfl-atl",3,"rushing",158,0,-1,"win"
"nfl-atl",3,"passing",280,158,1,"win"
"nfl-atl",2,"rushing",56,0,-1,"win"
"nfl-atl",2,"passing",346,56,1,"win"
"nfl-atl",1,"rushing",105,0,-1,"win"
"nfl-atl",1,"passing",290,105,1,"win"
"nfl-bal",16,"rushing",59,0,-1,"loss"
"nfl-bal",16,"passing",282,59,1,"loss"
"nfl-bal",15,"rushing",121,0,-1,"win"
"nfl-bal",15,"passing",265,121,1,"win"
"nfl-bal",14,"rushing",93,0,-1,"loss"
"nfl-bal",14,"passing",273,93,1,"loss"
"nfl-bal",13,"rushing",28,0,-1,"loss"
"nfl-bal",13,"passing",274,28,1,"loss"
"nfl-bal",12,"rushing",94,0,-1,"loss"
"nfl-bal",12,"passing",281,94,1,"loss"
"nfl-bal",11,"rushing",104,0,-1,"win"
"nfl-bal",11,"passing",232,104,1,"win"
"nfl-bal",10,"rushing",96,0,-1,"win"
"nfl-bal",10,"passing",292,96,1,"win"
"nfl-bal",9,"rushing",89,0,-1,"loss"
"nfl-bal",9,"passing",308,89,1,"loss"
"nfl-bal",8,"rushing",72,0,-1,"win"
"nfl-bal",8,"passing",293,72,1,"win"
"nfl-bal",7,"rushing",55,0,-1,"loss"
"nfl-bal",7,"passing",221,55,1,"loss"
"nfl-bal",6,"rushing",77,0,-1,"loss"
"nfl-bal",6,"passing",343,77,1,"loss"
"nfl-bal",5,"rushing",181,0,-1,"loss"
"nfl-bal",5,"passing",196,181,1,"loss"
"nfl-bal",4,"rushing",191,0,-1,"win"
"nfl-bal",4,"passing",165,191,1,"win"
"nfl-bal",3,"rushing",36,0,-1,"loss"
"nfl-bal",3,"passing",362,36,1,"loss"
"nfl-bal",2,"rushing",109,0,-1,"loss"
"nfl-bal",2,"passing",384,109,1,"loss"
"nfl-bal",1,"rushing",73,0,-1,"loss"
"nfl-bal",1,"passing",100,73,1,"loss"
"nfl-buf",16,"rushing",113,0,-1,"win"
"nfl-buf",16,"passing",182,113,1,"win"
"nfl-buf",15,"rushing",236,0,-1,"win"
"nfl-buf",15,"passing",172,236,1,"win"
"nfl-buf",14,"rushing",240,0,-1,"loss"
"nfl-buf",14,"passing",212,240,1,"loss"
