"year","title","author","rank"
2009,"OUTLIERS","Malcolm Gladwell",1
2009,"DEWEY","Vicki Myron with Bret Witter",2
2009,"AMERICAN LION","Jon Meacham",3
2009,"A BOLD FRESH PIECE OF HUMANITY","Bill O’Reilly",4
2009,"TOO FAT TO FISH","Artie Lange with Anthony Bozza",5
2009,"MULTIPLE BLESSINGS","Jon Gosselin, Kate Gosselin and Beth Carson",6
2009,"HOT, FLAT, AND CROWDED","Thomas L Friedman",7
2009,"WHY WE SUCK","Denis Leary",8
2009,"THE SNOWBALL","Alice Schroeder",9
2009,"DO THE RIGHT THING","Mike Huckabee",10
2009,"NO LIMITS","Michael Phelps with Alan Abrahamson",11
2009,"WHEN YOU ARE ENGULFED IN FLAMES","David Sedaris",12
2009,"THE NEW YORK TIMES","Introduction  Bill Keller",13
2009,"ANNIE LEIBOVITZ AT WORK","Annie Leibovitz",14
2009,"WISHFUL DRINKING","Carrie Fisher",15
2009,"THE AMERICAN JOURNEY OF BARACK OBAMA","the editors of Life magazine",16
2009,"FLEECED","Dick Morris and Eileen McGann",17
2009,"HOLIDAYS ON ICE","David Sedaris",18
2009,"LETTER TO MY DAUGHTER","Maya Angelou",19
2009,"THE ASCENT OF MONEY","Niall Ferguson",20
2010,"GOING ROGUE","Sarah Palin",1
2010,"HAVE A LITTLE FAITH","Mitch Albom",2
2010,"ARGUING WITH IDIOTS","edited  Glenn Beck, Kevin Balfe and others",3
2010,"STONES INTO SCHOOLS","Greg Mortenson",4
2010,"OPEN","Andre Agassi",5
2010,"SUPERFREAKONOMICS","Steven D Levitt and Stephen J Dubner",6
2010,"TRUE COMPASS","Edward M Kennedy",7
2010,"WHAT THE DOG SAW","Malcolm Gladwell",8
2010,"A BOLD FRESH PIECE OF HUMANITY","Bill O’Reilly",9
2010,"OUTLIERS","Malcolm Gladwell",10
2010,"WHEN THE GAME WAS OURS","Larry Bird and Earvin ""Magic"" Johnson with Jackie MacMullan",11
2010,"THE IMPERIAL CRUISE","James Bradley",12
2010,"HALF THE SKY","Nicholas D Kristof and Sheryl WuDunn",13
2010,"THE BOOK OF BASKETBALL","Bill Simmons",14
2010,"THE NATIONAL PARKS","Dayton Duncan and Ken Burns",15
2010,"A SIMPLE CHRISTMAS","Mike Huckabee",16
2010,"TOO BIG TO FAIL","Andrew Ross Sorkin",17
2010,"LAST WORDS","George Carlin with Tony Hendra",18
2010,"LIBERTY AND TYRANNY","Mark R Levin",19
2010,"WHERE MEN WIN GLORY","Jon Krakauer",20
2011,"DECISION POINTS","George W Bush",1
2011,"UNBROKEN","Laura Hillenbrand",2
2011,"AUTOBIOGRAPHY OF MARK TWAIN, VOL. 1","Mark Twain",3
2011,"LIFE","Keith Richards with James Fox",4
2011,"EARTH (THE BOOK)","Jon Stewart and others",5
2011,"CLEOPATRA","Stacy Schiff",6
2011,"BROKE","Glenn Beck and Kevin Balfe",7
2011,"DECODED","Jay-Z",8
2011,"_____ MY DAD SAYS","Justin Halpern",9
2011,"AMERICA BY HEART","Sarah Palin",10
2011,"PINHEADS AND PATRIOTS","Bill O'Reilly",11
2011,"THE LAST BOY","Jane Leavy",12
2011,"I REMEMBER NOTHING","Nora Ephron",13
2011,"COLONEL ROOSEVELT","Edmund Morris",14
2011,"THE IMMORTAL LIFE OF HENRIETTA LACKS","Rebecca Skloot",15
2011,"AT HOME","Bill Bryson",16
2011,"SPOKEN FROM THE HEART","Laura Bush",17
2011,"APOLLO'S ANGELS","Jennifer Homans",18
2011,"____ FINISH FIRST","Tucker Max",19
2011,"WASHINGTON","Ron Chernow",20
2012,"STEVE JOBS","Walter Isaacson",1
2012,"KILLING LINCOLN","Bill O'Reilly and Martin Dugard",2
2012,"UNBROKEN","Laura Hillenbrand",3
2012,"JACK KENNEDY","Chris Matthews",4
2012,"BEING GEORGE WASHINGTON","Glenn Beck and Kevin Balfe",5
2012,"THROUGH MY EYES","Tim Tebow with Nathan Whitaker",6
2012,"THINKING, FAST AND SLOW","Daniel Kahneman",7
2012,"CATHERINE THE GREAT","Robert K Massie",8
2012,"THEN AGAIN","Diane Keaton",9
2012,"HEAVEN IS FOR REAL","Todd Burpo with Lynn Vincent",10
2012,"IN THE GARDEN OF BEASTS","Erik Larson",11
2012,"BOOMERANG","Michael Lewis",12
2012,"A HISTORY OF THE WORLD IN 100 OBJECTS","Neil MacGregor",13
2012,"BOSSYPANTS","Tina Fey",14
2012,"DESTINY OF THE REPUBLIC","Candice Millard",15
2012,"Jacqueline Kennedy: Historic Conversations On Life With John F. Kennedy","",16
2012,"IS EVERYONE HANGING OUT WITHOUT ME?","Mindy Kaling",17
2012,"100 YARDS OF GLORY","Joe Garner and Bob Costas",18
2012,"THE TIME OF OUR LIVES","Tom Brokaw",19
2012,"SERIOUSLY... I'M KIDDING","Ellen DeGeneres",20
2013,"KILLING KENNEDY","Bill O'Reilly and Martin Dugard",1
2013,"THOMAS JEFFERSON","Jon Meacham",2
2013,"KILLING LINCOLN","Bill O'Reilly and Martin Dugard",3
2013,"NO EASY DAY","Mark Owen with Kevin Maurer",4
2013,"AMERICA AGAIN","Stephen Colbert and others",5
2013,"UNBROKEN","Laura Hillenbrand",6
2013,"THE SIGNAL AND THE NOISE","Nate Silver",7
2013,"ROLL ME UP AND SMOKE ME WHEN I DIE","Willie Nelson",8
2013,"BRUCE","Peter Ames Carlin",9
2013,"WAGING HEAVY PEACE","Neil Young",10
2013,"BEHIND THE BEAUTIFUL FOREVERS","Katherine Boo",11
2013,"UNDERWATER DOGS","Seth Casteel",12
2013,"LAST LION","William Manchester and Paul Reid",13
2013,"THE ONION BOOK OF KNOWN KNOWLEDGE","the staff of The Onion",14
2013,"PATRIARCH","David Nasaw",15
2013,"WILD","Cheryl Strayed",16
2013,"TAP DANCING TO WORK","Carol J Loomis",17
2013,"DUCK COMMANDERS","Willie and Korie Robertson with Mark Schlabach",18
2013,"WHO I AM","Pete Townshend",19
2013,"JOY OF HATE","Greg Gutfeld",20
2014,"THINGS THAT MATTER","Charles Krauthammer",1
2014,"KILLING JESUS","Bill O'Reilly and Martin Dugard",2
2014,"DAVID AND GOLIATH","Malcolm Gladwell",3
2014,"GEORGE WASHINGTON'S SECRET SIX","Brian Kilmeade and Don Yaeger",4
2014,"THE BULLY PULPIT","Doris Kearns Goodwin",5
2014,"MIRACLES AND MASSACRES","Glenn Beck with Kevin Balfe and Hannah Beck",6
2014,"I AM MALALA","Malala Yousafzai with Christina Lamb",7
2014,"HUMANS OF NEW YORK","Brandon Stanton",8
2014,"LET ME OFF AT THE TOP!","Ron Burgundy",9
2014,"SI-COLOGY 1","Si Robertson with Mark Schlabach",10
2014,"ONE SUMMER","Bill Bryson",11
2014,"HAPPY, HAPPY, HAPPY","Phil Robertson with Mark Schlabach",12
2014,"UNBROKEN","Laura Hillenbrand",13
2014,"KILLING KENNEDY","Bill O'Reilly and Martin Dugard",14
2014,"LEAN IN","Sheryl Sandberg with Nell Scovell",15
2014,"THE BOYS IN THE BOAT","Daniel James Brown",16
2014,"THE KID","Ben Bradlee Jr",17
2014,"PADDLE YOUR OWN CANOE","Nick Offerman",18
2014,"ORR","Bob Orr",19
2014,"JOHNNY CARSON","Henry Bushkin",20
2015,"KILLING PATTON","Bill O'Reilly and Martin Dugard",1
2015,"41","George W Bush",2
2015,"WHAT IF?","Randall Munroe",3
2015,"YES PLEASE","Amy Poehler",4
2015,"HUMANS OF NEW YORK","Brandon Stanton",5
2015,"UNBROKEN","Laura Hillenbrand",6
2015,"AS YOU WISH","Cary Elwes with Joe Layden",7
2015,"THE ANDY COHEN DIARIES","Andy Cohen",8
2015,"BEING MORTAL","Atul Gawande",9
2015,"YOU CAN'T MAKE THIS UP","Al Michaels with L Jon Wertheim",10
2015,"THE INNOVATORS","Walter Isaacson",11
2015,"NOT THAT KIND OF GIRL","Lena Dunham",12
2015,"JETER UNFILTERED","Derek Jeter with Anthony Bozza",13
2015,"SO ANYWAY . . .","John Cleese",14
2015,"SMALL VICTORIES","Anne Lamott",15
2015,"I AM MALALA","Malala Yousafzai with Christina Lamb",16
2015,"THINGS THAT MATTER","Charles Krauthammer",17
2015,"DREAMERS AND DECEIVERS","Glenn Beck with Kevin Balfe",18
2015,"IN THE KINGDOM OF ICE","Hampton Sides",19
2015,"FOOD","Jim Gaffigan",20
