title,description
A Year of Marvels: The Amazing (2016) #1,"Join us in a brand new Marvel comics adventure as your favorite heroes journey through the calendar year one month at a time! It’s February and Peter Parker’s got a hot date, but the old Parker luck hits hard…and so does the bank-robbing villain The Vulture! It’s a tale of romance, adventure, and punching! From Ryan North (SQUIRREL GIRL) and Danilo Beyruth! When business is down in March, Scott Lang’s Ant-Man Security Solutions will take just about any job offered to them – including stealing back stolen goods! But all is not as it seems! Join writer Amy Chu (Poison Ivy) and artist Ryan Browne (SECRET WARS TOO) as they team together for this Spring Break themed heist!"
A Year of Marvels: The Amazing (2016) #1,"Join us in a brand new Marvel comics adventure as your favorite heroes journey through the calendar year one month at a time! It’s February and Peter Parker’s got a hot date, but the old Parker luck hits hard…and so does the bank-robbing villain The Vulture! It’s a tale of romance, adventure, and punching! From Ryan North (SQUIRREL GIRL) and Danilo Beyruth! When business is down in March, Scott Lang’s Ant-Man Security Solutions will take just about any job offered to them – including stealing back stolen goods! But all is not as it seems! Join writer Amy Chu (Poison Ivy) and artist Ryan Browne (SECRET WARS TOO) as they team together for this Spring Break themed heist!"
A Year of Marvels: The Amazing (2016) #2,"AT LAST! The Infinite Comic that had everyone talking makes it to print! Full of fun, heart, and pranks, this is one folks’ll be talking about for years! Presenting: a Mother’s Day story to curdle the blood! Meet the sinister Wendigo Sisters! Will the combined might of She-Hulk and Wolverine be enough to stop them from murdering their OWN MOTHER? Could there be more to this story than we’re telling you? Probably! Read and find out!"
A-Force (2016) #4,"Does defeating Antimatter mean the end of Singularity? As Singularity faces Antimatter on her own, prepared to sacrifice her own existence, A-Force rallies behind her. With Tempest Bell’s help, SHE-HULK, CAPTAIN MARVEL, MEDUSA, and NICO MINORU make a final bid to save Singularity from destruction while still saving the world from Antimatter’s ever-growing threat. But every action has a cost, and what will these actions cost A-Force?"
A-Force (2016) #4,"Does defeating Antimatter mean the end of Singularity? As Singularity faces Antimatter on her own, prepared to sacrifice her own existence, A-Force rallies behind her. With Tempest Bell’s help, SHE-HULK, CAPTAIN MARVEL, MEDUSA, and NICO MINORU make a final bid to save Singularity from destruction while still saving the world from Antimatter’s ever-growing threat. But every action has a cost, and what will these actions cost A-Force?"
A-Force (2016) #5,"“Rage, Rage Against The Dying Of The Light” STARTS NOW! When a massive dragon attacks a small coastal town, SHE-HULK, CAPTAIN MARVEL, MEDUSA, DAZZLER, NICO MINORU, and SINGULARITY spring into action. But this dragon is more than she seems and has her sights set on more than just one small town. In fact, she’s got her sights set on one of A-FORCE. Meanwhile, Dazzler’s got a big secret and the strangest ally ever is going to help them in this fight... or maybe try to arrest them."
A-Force (2016) #6,"The mysterious (and formerly looking like a Dragon!) Countess has taken over the town A-Force came to save, rebuilding it in her own image and with a mind-controlled NICO MINORU at her side. It’s A-FORCE vs NICO and the team (and one innocent town!) is learning the hard way just how powerful Nico can be. Will this be the end of A-Force at the hands of one of their own? Or will SHE-HULK’S risky (okay, sure, some say insane) plan, allow them to live long enough to fight another day?!"
Agents of S.H.I.E.L.D. (2016) #4,"A STANDOFF tie-in! The Agents of S.H.I.E.L.D. take on the New Avengers! Plus, the world’s craziest Wolverine cameo continues! Check out the book that everyone has been raving about!"
Agents of S.H.I.E.L.D. (2016) #4,"A STANDOFF tie-in! The Agents of S.H.I.E.L.D. take on the New Avengers! Plus, the world’s craziest Wolverine cameo continues! Check out the book that everyone has been raving about!"
Agents of S.H.I.E.L.D. (2016) #5,Coulson captive! Simmons dying! The Amazing Spider-Man marked for death! And if that wasn’t enough… the Marvel Comics Universe debut of GRANT WARD.
Agents of S.H.I.E.L.D. (2016) #6,“The Coulson Protocols” concludes! Coulson’s strategies could kill every super-hero in the Marvel Universe… unless the Agents of S.H.I.E.L.D. have something to say about it. Guest starring as many super-heroes as we cram into 20 pages. Plus: The moment you’ve been waiting for: Coulson vs. Ward!
All-New Hawkeye (2015) #6,A young Kate Bishop understands the kind of man her father truly is. A wiser Clint Barton gives his all to prove that he’s someone Kate can trust. This climatic story forever redefines what it means to be a part of Team Hawkeye.
All-New Hawkeye (2015) #6,A young Kate Bishop understands the kind of man her father truly is. A wiser Clint Barton gives his all to prove that he’s someone Kate can trust. This climatic story forever redefines what it means to be a part of Team Hawkeye.
All-New Inhumans (2015) #6,Something in the mysterious SKYSPEAR has changed Crystal from the Inhumans leader to their greatest threat! Can The Amazing Spider-Man and the rest of the Inhumans stop a woman who controls the four elements?
