"Year","Rank","Author","Title","Contributor","Description"
2009,1,"Glenn Beck with Kevin Balfe and Jason Wright","THE CHRISTMAS SWEATER","by Glenn Beck with Kevin Balfe and Jason Wright.","A boy learns from his disappointment with his mother’s gift."
2009,2,"Patricia Cornwell","SCARPETTA","by Patricia Cornwell","The forensic pathologist Kay Scarpetta, newly married, is splitting her time between Boston and New York, where she takes on a new assignment."
2009,3,"James Patterson","CROSS COUNTRY","by James Patterson","Alex Cross chases the leader of a lethal teenage gang."
2009,4,"David Wroblewski","THE STORY OF EDGAR SAWTELLE","by David Wroblewski","A young mute who can communicate with the dogs his family raises takes refuge with three of them in the Wisconsin woods after his father’s death."
2009,5,"Stephenie Meyer","THE HOST","by Stephenie Meyer","Aliens have taken control of the minds and bodies of most human beings, but one woman won’t surrender."
2009,6,"Stephen King","JUST AFTER SUNSET","by Stephen King","Short stories blending fantasy and psychological realism."
2009,7,"Nicholas Sparks","THE LUCKY ONE","by Nicholas Sparks","A marine returning home sets out to track down the woman whose photo he found in Iraq."
2009,8,"Clive Cussler and Dirk Cussler","ARCTIC DRIFT","by Clive Cussler and Dirk Cussler","In his 20th adventure, Dirk Pitt searches for a crucial element that will help reverse global warming."
2009,9,"Toni Morrison","A MERCY","by Toni Morrison","In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life, by the Nobel Prize-winning author of “Beloved.”"
2009,10,"Wally Lamb","THE HOUR I FIRST BELIEVED","by Wally Lamb","A man reconstructs five generations of family history."
2009,11,"David Baldacci","DIVINE JUSTICE","by David Baldacci","Members of Washington’s Camel Club rally to save their leader, who is hiding out in the town of Divine, Va."
2009,12,"Dean Koontz","YOUR HEART BELONGS TO ME","by Dean Koontz","A man is stalked by a woman who resembles the donor of the heart he received in a transplant operation."
2009,13,"Nelson DeMille","THE GATE HOUSE","by Nelson DeMille","In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation."
2009,14,"P D James","THE PRIVATE PATIENT","by P. D. James","Cmdr. Adam Dalgliesh investigates the murder of a journalist who had been a patient at a private clinic."
