title,author,cotributor,publisher,price,age_group,description
IT'S ALL GOOD,Gwyneth Paltrow and Julia Turshen,by Gwyneth Paltrow and Julia Turshen,Grand Central Life & Style,32,,"Easy, healthy, sugar-free recipes."
THE FASTDIET,Michael Mosley and Mimi Spencer,by Michael Mosley and Mimi Spencer,Atria,24,,A diet that calls for eating normally five days a week and fasting for the other two days.
DARING GREATLY,Brene Brown,by Brene Brown,Gotham,26,,"How the courage to be vulnerable transforms the way we live, love, parent and lead."
LIFE CODE,Phil McGraw,by Phil McGraw,Bird Street,26,,"How to “win in the real world,” regardless of people who try to exploit you."
THE TAPPING SOLUTION,Nick Ortner,by Nick Ortner,Hay House,24.95,,Repeating phrases and touching pressure points on the body to ease stress. 
SHRED: THE REVOLUTIONARY DIET,Ian K Smith,by Ian K. Smith,St. Martin's,24.99,,A six-week system that combines meal spacing and other elements.
WHEAT BELLY,William Davis,by William Davis,Rodale,25.99,,An examination of wheat in modern diets.
"MAKING GOOD HABITS, BREAKING BAD HABITS",Joyce Meyer,by Joyce Meyer,FaithWords,19.99,, Practicing 14 behaviors to create positive new routines.
THE KEY IS LOVE,Marie Osmond with Marcia Wilkie,by Marie Osmond with Marcia Wilkie,New American Library,25.95,,A daughter draws on her mother’s wisdom. 
ONE THING,Gary Keller with Jay Papasan,by Gary Keller with Jay Papasan,Bard Press,24.95,,Narrowing your concentration and becoming more productive. 
DECISIVE,Chip Heath and Dan Heath,by Chip Heath and Dan Heath,Crown Business,0,,Strategies for making better choices in life and work.
FIRSTHAND,Ryan and Josh Shook,by Ryan and Josh Shook,Waterbrook,0,,Two brothers discuss their struggles in finding a lasting Christian faith.
"THE LEGEND OF ZELDA, HYRULE HISTORIA","Patrick Thorpe and Michael Gombos, et al","by Patrick Thorpe and Michael Gombos, et al.",Dark Horse,0,,Historical information on the franchise.
WHEAT BELLY COOKBOOK,William Davis,by William Davis,Rodale,0,,"This ""Wheat Belly"" companion contains 150 recipes that are free of modern wheat."
