"List_name","Enc_Name"
"Combined Print and E-Book Fiction","combined-print-and-e-book-fiction"
"Combined Print and E-Book Nonfiction","combined-print-and-e-book-nonfiction"
"Hardcover Fiction","hardcover-fiction"
"Hardcover Nonfiction","hardcover-nonfiction"
"Trade Fiction Paperback","trade-fiction-paperback"
"Mass Market Paperback","mass-market-paperback"
"Paperback Nonfiction","paperback-nonfiction"
"E-Book Fiction","e-book-fiction"
"E-Book Nonfiction","e-book-nonfiction"
"Hardcover Advice","hardcover-advice"
"Paperback Advice","paperback-advice"
"Advice How-To and Miscellaneous","advice-how-to-and-miscellaneous"
"Picture Books","picture-books"
"Chapter Books","chapter-books"
"Childrens Middle Grade","childrens-middle-grade"
"Young Adult","young-adult"
"Paperback Books","paperback-books"
"Childrens Middle Grade Hardcover","childrens-middle-grade-hardcover"
"Childrens Middle Grade Paperback","childrens-middle-grade-paperback"
"Childrens Middle Grade E-Book","childrens-middle-grade-e-book"
"Young Adult Hardcover","young-adult-hardcover"
"Young Adult Paperback","young-adult-paperback"
"Young Adult E-Book","young-adult-e-book"
"Series Books","series-books"
"Hardcover Graphic Books","hardcover-graphic-books"
"Paperback Graphic Books","paperback-graphic-books"
"Manga","manga"
"Combined Print Fiction","combined-print-fiction"
"Combined Print Nonfiction","combined-print-nonfiction"
"Animals","animals"
"Business Books","business-books"
"Celebrities","celebrities"
"Crime and Punishment","crime-and-punishment"
"Culture","culture"
"Education","education"
"Espionage","espionage"
"Expeditions Disasters and Adventures","expeditions-disasters-and-adventures"
"Family","family"
"Fashion Manners and Customs","fashion-manners-and-customs"
"Food and Fitness","food-and-fitness"
"Games and Activities","games-and-activities"
"Hardcover Business Books","hardcover-business-books"
"Health","health"
"Humor","humor"
"Indigenous Americans","indigenous-americans"
"Paperback Business Books","paperback-business-books"
"Hardcover Political Books","hardcover-political-books"
"Race and Civil Rights","race-and-civil-rights"
"Relationships","relationships"
"Religion Spirituality and Faith","religion-spirituality-and-faith"
"Science","science"
"Sports","sports"
"Travel","travel"
