"city","time","temp"
"New York",0,32.99
"New York",3,35.13
"New York",6,37.02
"New York",9,34.56
"New York",12,32.04
"New York",15,28.63
"New York",18,25.63
"New York",21,24.55
"New York",24,34.05
"New York",27,36.68
"New York",30,36.23
"New York",33,32.72
"New York",36,32.16
"New York",39,31.44
"New York",42,29.66
"New York",45,29.61
"New York",48,34.86
"New York",51,37.15
"New York",54,39.25
"New York",57,33.18
"New York",60,29.89
"New York",63,29.51
"New York",66,29.48
"New York",69,31.26
"New York",72,39.68
"New York",75,46.12
"New York",78,49.87
"New York",81,45.97
"New York",84,43.14
"New York",87,40.71
"New York",90,38.24
"New York",93,38.93
"New York",96,50.5
"New York",99,56.22
"New York",102,57.93
"New York",105,53.58
"New York",108,50.02
"New York",111,47.73
"New York",114,45.62
"New York",117,46.38
"Los Angeles",0,38.73
"Los Angeles",3,60.8
"Los Angeles",6,65.8
"Los Angeles",9,64
"Los Angeles",12,55.49
"Los Angeles",15,47.61
"Los Angeles",18,44.31
"Los Angeles",21,43.25
"Los Angeles",24,44.73
"Los Angeles",27,59.32
"Los Angeles",30,61.38
"Los Angeles",33,60.62
"Los Angeles",36,55.96
"Los Angeles",39,53.78
"Los Angeles",42,52.79
"Los Angeles",45,51.33
"Los Angeles",48,51.53
"Los Angeles",51,53.62
"Los Angeles",54,50.65
"Los Angeles",57,48.75
"Los Angeles",60,48.07
"Los Angeles",63,43.78
"Los Angeles",66,45.86
"Los Angeles",69,45.93
"Los Angeles",72,45.35
"Los Angeles",75,50.26
"Los Angeles",78,52.39
"Los Angeles",81,47.63
"Los Angeles",84,43.37
"Los Angeles",87,42.06
"Los Angeles",90,42.47
"Los Angeles",93,41.99
"Los Angeles",96,40.42
"Los Angeles",99,54.01
"Los Angeles",102,61.26
"Los Angeles",105,61.32
"Los Angeles",108,48.67
"Los Angeles",111,42.29
"Los Angeles",114,39.23
"Los Angeles",117,36.93
"Chicago",0,27.93
"Chicago",3,32.4
"Chicago",6,33.93
"Chicago",9,28.65
"Chicago",12,28.56
"Chicago",15,30.22
"Chicago",18,33.64
"Chicago",21,35.82
"Chicago",24,35.44
"Chicago",27,36.97
"Chicago",30,37.74
"Chicago",33,34.77
"Chicago",36,26.4
"Chicago",39,16.65
"Chicago",42,13.62
"Chicago",45,14.34
"Chicago",48,32.63
"Chicago",51,40.19
"Chicago",54,43.86
"Chicago",57,42.45
"Chicago",60,41.68
"Chicago",63,41.21
"Chicago",66,41.81
"Chicago",69,42.19
"Chicago",72,47.46
"Chicago",75,55.75
"Chicago",78,55.45
"Chicago",81,52.45
"Chicago",84,51.33
"Chicago",87,52.86
"Chicago",90,54.35
"Chicago",93,55.71
"Chicago",96,58.06
"Chicago",99,60.27
"Chicago",102,62.3
"Chicago",105,61.09
"Chicago",108,60.46
"Chicago",111,55.38
"Chicago",114,53.05
"Chicago",117,51.6
"Houston",0,69.71
"Houston",3,77.92
"Houston",6,79.79
"Houston",9,75.61
"Houston",12,64.17
"Houston",15,59.09
"Houston",18,54
"Houston",21,50.79
"Houston",24,68.49
"Houston",27,78.04
"Houston",30,78.53
"Houston",33,72.57
"Houston",36,62.02
"Houston",39,57.42
"Houston",42,54.5
"Houston",45,55.47
"Houston",48,67.39
"Houston",51,74.84
"Houston",54,74.95
"Houston",57,69.85
"Houston",60,64.81
"Houston",63,63.04
"Houston",66,62.69
"Houston",69,65.01
"Houston",72,69.33
"Houston",75,72.58
"Houston",78,74.89
"Houston",81,71.35
"Houston",84,69.15
"Houston",87,69.28
"Houston",90,69.65
"Houston",93,69.53
"Houston",96,71.38
"Houston",99,69.45
"Houston",102,68.42
"Houston",105,69.6
"Houston",108,67.66
"Houston",111,67.89
"Houston",114,64.93
"Houston",117,63.39
"Philadelphia",0,35.65
"Philadelphia",3,43.3
"Philadelphia",6,44.26
"Philadelphia",9,37.17
"Philadelphia",12,33.85
"Philadelphia",15,29.3
"Philadelphia",18,24.17
"Philadelphia",21,21.58
"Philadelphia",24,38.55
"Philadelphia",27,41.97
"Philadelphia",30,41.31
